Source	Target
ex_wat364	giraffoman
ex_wat364	igor_varnavsky
maskarad	ptichka
karpolan	ptichka
minetolog	ptichka
dinozavrik	ptichka
dinozavrik	tigrafamily
kavery	ptichka
danko	ptichka
danko	kammerer
danko	tigrafamily
nickolb	ptichka
moscovitan	ptichka
moscovitan	kammerer
moscovitan	oil_luck_oie
kemushi	ptichka
kemushi	pocket_girl
kemushi	artiom_shorohov
kemushi	pats0n
kemushi	lapshinji
galkovsky	ptichka
galkovsky	porco
galkovsky	perestukin
galkovsky	lapshinji
galkovsky	davidov
galkovsky	igor_varnavsky
galkovsky	dima_gameland
tamos	ptichka
_miaka_	ptichka
_miaka_	reanstrain
_miaka_	pocket_girl
_miaka_	mad_doctor
_miaka_	giraffoman
_miaka_	neomega
_miaka_	tigrafamily
_miaka_	lapshinji
_miaka_	litewren
